"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"DT.AMT.BLTC.CD","PGP, bilateral en condiciones concesionarias (RDP, US$ a precios actuales)","La deuda bilateral incluye préstamos de Gobiernos y sus organismos (incluidos los bancos centrales), préstamos de órganos autónomos y préstamos directos de organismos oficiales de crédito para la exportación. La deuda en condiciones concesionarias se define como préstamos con un elemento de donación original del 25% o más. El elemento de donación de un préstamo es el equivalente de donación expresado como porcentaje del monto comprometido. Se utiliza para medir el costo total del endeudamiento. El equivalente de donación de un préstamo es su valor (actualizado) de compromiso menos el valor actualizado descontado de su servicio de la deuda contractual; por lo general, los pagos futuros del servicio de la deuda se descuentan al 10%. Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.DIMF.CD","Recompras del FMI (reembolsos del principal [RDP], US$ a precios actuales)","Las recompras del FMI son los reembolsos totales de los giros pendientes de reembolso de la Cuenta de Recursos Generales durante el año especificado, excluidos los reembolsos adeudados en el tramo de reserva. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.DLTF.CD","Reembolsos del principal de la deuda externa, a largo plazo + FMI (RDP, US$ a precios actuales)","Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. Este elemento incluye los reembolsos del principal de la deuda a largo plazo y las recompras del FMI. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Las recompras del FMI son los reembolsos totales de los giros pendientes de reembolso de la Cuenta de Recursos Generales durante el año especificado, excluidos los reembolsos adeudados en el tramo de reserva. Para mantener la capacidad de comparación entre los datos y las operaciones con el FMI y los datos sobre la deuda a largo plazo, el uso del crédito del FMI pendiente de pago al final del año (saldo) se convierte a dólares estadounidenses al tipo de cambio en DEG vigente en ese momento. Las recompras (flujos) se convierten utilizando el tipo de cambio promedio de DEG del año en que ocurrieron las operaciones. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.DLXF.CD","Reembolsos del principal de la deuda externa, a largo plazo (RDP, US$ a precios actuales)","Los reembolsos del principal de deuda a largo plazo son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.DPNG.CD","Reembolsos del principal de la deuda externa, privada no garantizada (PNG) (RDP, US$ a precios actuales)","La deuda externa privada no garantizada es una obligación externa de un deudor privado, cuyo reembolso no está garantizado por una entidad pública. Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.DPPG.CD","Reembolsos del principal de la deuda externa, pública y con garantía pública (PGP) (RDP, US$ a precios actuales)","Las deudas a largo plazo pública y con garantía pública se suman. La deuda pública es una obligación externa de un deudor público, incluido el Gobierno nacional, una subdivisión política (o un organismo de su dependencia) y los órganos públicos autónomos. La deuda con garantía pública es una obligación externa de un deudor privado, cuyo reembolso está garantizado por una entidad pública. Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.MIBR.CD","PGP, BIRF (RDP, US$ a precios actuales)","La deuda pública y con garantía pública pendiente de pago del Banco Internacional de Reconstrucción y Fomento (BIRF) no goza de condiciones concesionarias. La deuda en condiciones no concesionarias no incluye los préstamos con un elemento de donación original del 25% o más. Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.MIDA.CD","PGP, AIF (RDP, US$ a precios actuales)","La deuda pública y con garantía pública pendiente de pago de la Asociación Internacional de Fomento (AIF) goza de condiciones concesionarias. La deuda en condiciones concesionarias se define como préstamos con un elemento de donación original del 25% o más. El elemento de donación de un préstamo es el equivalente de donación expresado como porcentaje del monto comprometido. Se utiliza para medir el costo total del endeudamiento. El equivalente de donación de un préstamo es su valor (actualizado) de compromiso menos el valor actualizado descontado de su servicio de la deuda contractual; por lo general, los pagos futuros del servicio de la deuda se descuentan al 10%. Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.MLAT.CD","PGP, multilateral (RDP, US$ a precios actuales)","Los préstamos multilaterales públicos y con garantía pública incluyen los préstamos y créditos del Banco Mundial, los bancos regionales de desarrollo y otros organismos multilaterales e intergubernamentales. Se excluyen los préstamos provenientes de fondos administrados por un organismo internacional en nombre de un único Gobierno donante; éstos se clasifican como préstamos de Gobiernos. Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.MLTC.CD","PGP, multilateral en condiciones concesionarias (RDP, US$ a precios actuales)","Los préstamos multilaterales públicos y con garantía pública incluyen los préstamos y créditos del Banco Mundial, los bancos regionales de desarrollo y otros organismos multilaterales e intergubernamentales. Se excluyen los préstamos provenientes de fondos administrados por un organismo internacional en nombre de un único Gobierno donante; éstos se clasifican como préstamos de Gobiernos. La deuda en condiciones concesionarias se define como préstamos con un elemento de donación original del 25% o más. El elemento de donación de un préstamo es el equivalente de donación expresado como porcentaje del monto comprometido. Se utiliza para medir el costo total del endeudamiento. El equivalente de donación de un préstamo es su valor (actualizado) de compromiso menos el valor actualizado descontado de su servicio de la deuda contractual; por lo general, los pagos futuros del servicio de la deuda se descuentan al 10%. Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.OFFT.CD","PGP, acreedores oficiales (RDP, US$ a precios actuales)","La deuda pública y con garantía pública de acreedores oficiales incluye los préstamos de organizaciones internacionales (préstamos multilaterales) y los préstamos de los Gobiernos (préstamos bilaterales). Los préstamos de organizaciones internacionales incluyen los préstamos y créditos del Banco Mundial, los bancos regionales de desarrollo y otros organismos multilaterales e intergubernamentales. Se excluyen los préstamos provenientes de fondos administrados por un organismo internacional en nombre de un único Gobierno donante; éstos se clasifican como préstamos de Gobiernos. Los préstamos de los Gobiernos incluyen préstamos de Gobiernos y sus organismos (incluidos los bancos centrales), préstamos de órganos autónomos y préstamos directos de organismos oficiales de crédito para la exportación. Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.PBND.CD","PGP, bonos (RDP, US$ a precios actuales)","Deuda pública y con garantía pública procedente de bonos emitidos públicamente o colocados en forma privada. Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.PCBK.CD","PGP, bancos comerciales (RDP, US$ a precios actuales)","Préstamos comerciales públicos y con garantía pública de bancos privados y otras instituciones financieras privadas. Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.PNGB.CD","PNG, bonos (RDP, US$ a precios actuales)","Deuda a largo plazo no garantizada de bonos que se colocan en forma privada. Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.PNGC.CD","PNG, bancos comerciales y otros acreedores (RDP, US$ a precios actuales)","Préstamos comerciales a largo plazo no garantizados de bancos privados y otras instituciones financieras privadas. Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.PROP.CD","PGP, otros acreedores privados (RDP, US$ a precios actuales)","Otros créditos privados públicos o con garantía pública de fabricantes, exportadores y otros proveedores de bienes, y créditos bancarios cubiertos por una garantía de un organismo de crédito para la exportación. Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AMT.PRVT.CD","PGP, acreedores privados (RDP, US$ a precios actuales)","La deuda pública y con garantía pública de acreedores privados incluye bonos emitidos públicamente o colocados en forma privada; préstamos comerciales de bancos privados y otras instituciones financieras privadas, y otros créditos privados de fabricantes, exportadores y otros proveedores de bienes, y los créditos bancarios cubiertos por una garantía de un organismo de crédito para la exportación. Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AXA.DPPG.CD","Atrasos del principal, de la deuda a largo plazo excepcional (US$ a precios actuales)","Los atrasos en los pagos del principal de deuda a largo plazo se definen como los reembolsos del principal adeudados pero no pagados, acumulativos. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AXA.OFFT.CD","Atrasos del principal, acreedores oficiales (US$ a precios actuales)","Los atrasos en los pagos del principal de deuda a largo plazo se definen como los reembolsos del principal adeudados pero no pagados, acumulativos. La deuda de acreedores oficiales incluye los préstamos de organizaciones internacionales (préstamos multilaterales) y los préstamos de los Gobiernos (préstamos bilaterales). Los préstamos de organizaciones internacionales incluyen los préstamos y créditos del Banco Mundial, los bancos regionales de desarrollo y otros organismos multilaterales e intergubernamentales. Se excluyen los préstamos provenientes de fondos administrados por un organismo internacional en nombre de un único Gobierno donante; éstos se clasifican como préstamos de Gobiernos. Los préstamos de los Gobiernos incluyen préstamos de Gobiernos y sus organismos (incluidos los bancos centrales), préstamos de órganos autónomos y préstamos directos de organismos oficiales de crédito para la exportación. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AXA.PRVT.CD","Atrasos del principal, acreedores privados (US$ a precios actuales)","Los atrasos en los pagos del principal de deuda a largo plazo se definen como los reembolsos del principal adeudados pero no pagados, acumulativos. La deuda de acreedores privados incluye bonos emitidos públicamente o colocados en forma privada; préstamos comerciales de bancos privados y otras instituciones financieras privadas, y otros créditos privados de fabricantes, exportadores y otros proveedores de bienes, y los créditos bancarios cubiertos por una garantía de un organismo de crédito para la exportación. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AXF.DPPG.CD","Parte condonada del principal (US$ a precios actuales)","La parte condonada del principal es el monto del principal adeudado o atrasado que se canceló o condonó en un año determinado. Incluye la deuda condonada dentro y fuera del marco de los acuerdos del Club de París, el monto del principal condonado y los atrasos en el pago del principal condonados. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AXR.DPPG.CD","Parte reprogramada del principal (US$ a precios actuales)","La parte reprogramada del principal es el monto del principal adeudado o atrasado cuyo vencimiento se postergó en un año determinado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AXR.OFFT.CD","Parte reprogramada del principal, oficial (US$ a precios actuales)","La parte reprogramada del principal es el monto del principal adeudado o atrasado cuyo vencimiento se postergó en un año determinado. La deuda de acreedores oficiales incluye los préstamos de organizaciones internacionales (préstamos multilaterales) y los préstamos de los Gobiernos (préstamos bilaterales). Los préstamos de organizaciones internacionales incluyen los préstamos y créditos del Banco Mundial, los bancos regionales de desarrollo y otros organismos multilaterales e intergubernamentales. Se excluyen los préstamos provenientes de fondos administrados por un organismo internacional en nombre de un único Gobierno donante; éstos se clasifican como préstamos de Gobiernos. Los préstamos de los Gobiernos incluyen préstamos de Gobiernos y sus organismos (incluidos los bancos centrales), préstamos de órganos autónomos y préstamos directos de organismos oficiales de crédito para la exportación. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.AXR.PRVT.CD","Parte reprogramada del principal, privada (US$ a precios actuales)","La parte reprogramada del principal es el monto del principal adeudado o atrasado cuyo vencimiento se postergó en un año determinado. La deuda de acreedores privados incluye bonos emitidos públicamente o colocados en forma privada; préstamos comerciales de bancos privados y otras instituciones financieras privadas, y otros créditos privados de fabricantes, exportadores y otros proveedores de bienes, y los créditos bancarios cubiertos por una garantía de un organismo de crédito para la exportación. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.COM.DPPG.CD","Compromisos, públicos y con garantía pública (COM, US$ a precios actuales)","Los compromisos son el monto total de préstamos a largo plazo por los que se firmaron contratos en el año especificado; no se dispone de datos sobre la deuda no garantizada privada. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.COM.MIBR.CD","Compromisos, BIRF (compromisos [COM], US$ a precios actuales)","Los compromisos (BIRF) son la suma de nuevos compromisos relativos a préstamos públicos y con garantía pública del Banco Internacional de Reconstrucción y Fomento (BIRF). Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.COM.MIDA.CD","Compromisos, AIF (compromisos [COM], US$ a precios actuales)","Los compromisos (AIF) son la suma de nuevos compromisos relativos a préstamos públicos y con garantía pública de la Asociación Internacional de Fomento (AIF). Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.COM.OFFT.CD","Compromisos, acreedores oficiales (COM, US$ a precios actuales)","Los compromisos son el monto de los préstamos a largo plazo por los que se firmaron contratos en el año especificado. La deuda de acreedores oficiales incluye los préstamos de organizaciones internacionales (préstamos multilaterales) y los préstamos de los Gobiernos (préstamos bilaterales). Los préstamos de organizaciones internacionales incluyen los préstamos y créditos del Banco Mundial, los bancos regionales de desarrollo y otros organismos multilaterales e intergubernamentales. Se excluyen los préstamos provenientes de fondos administrados por un organismo internacional en nombre de un único Gobierno donante; éstos se clasifican como préstamos de Gobiernos. Los préstamos de los Gobiernos incluyen préstamos de Gobiernos y sus organismos (incluidos los bancos centrales), préstamos de órganos autónomos y préstamos directos de organismos oficiales de crédito para la exportación. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.COM.PRVT.CD","Compromisos, acreedores privados (COM, US$ a precios actuales)","Los compromisos son el monto de préstamos a largo plazo por los que se firmaron contratos en el año especificado; no se dispone de datos sobre la deuda no garantizada privada. La deuda de acreedores privados incluye bonos emitidos públicamente o colocados en forma privada; préstamos comerciales de bancos privados y otras instituciones financieras privadas, y otros créditos privados de fabricantes, exportadores y otros proveedores de bienes, y los créditos bancarios cubiertos por una garantía de un organismo de crédito para la exportación. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.CUR.DMAK.ZS","Composición monetaria de la deuda PGP, marco alemán (%)","El porcentaje de deuda externa a largo plazo pública y con garantía pública contraída en marcos alemanes para países de ingreso bajo y mediano.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.CUR.EURO.ZS","Composición monetaria de la deuda PGP, euro (%)","El porcentaje de deuda externa a largo plazo pública y con garantía pública contraída en euros para países de ingreso bajo y mediano.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.CUR.FFRC.ZS","Composición monetaria de la deuda PGP, franco francés (%)","El porcentaje de deuda externa a largo plazo pública y con garantía pública contraída en francos franceses para países de ingreso bajo y mediano.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.CUR.JYEN.ZS","Composición monetaria de la deuda PGP, yen japonés (%)","El porcentaje de deuda externa a largo plazo pública y con garantía pública contraída en yenes japoneses para países de ingreso bajo y mediano.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.CUR.MULC.ZS","Composición monetaria de la deuda PGP, múltiples monedas (%)","El porcentaje de deuda externa a largo plazo pública y con garantía pública contraída en múltiples monedas para países de ingreso bajo y mediano.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.CUR.OTHC.ZS","Composición monetaria de la deuda pública y con garantía pública (PGP), demás monedas (%)","El porcentaje de deuda externa a largo plazo pública y con garantía pública contraída en todas las demás monedas no especificadas para países de ingreso bajo y mediano.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.CUR.SDRW.ZS","Composición monetaria de la deuda PGP, DEG (%)","El porcentaje de deuda externa a largo plazo pública y con garantía pública contraída en derechos especiales de giro para países de ingreso bajo y mediano.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.CUR.SWFR.ZS","Composición monetaria de la deuda PGP, franco suizo (%)","El porcentaje de deuda externa a largo plazo pública y con garantía pública contraída en francos suizos para países de ingreso bajo y mediano.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.CUR.UKPS.ZS","Composición monetaria de la deuda PGP, libra esterlina (%)","El porcentaje de deuda externa a largo plazo pública y con garantía pública contraída en libras esterlinas (Reino Unido) para países de ingreso bajo y mediano.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.CUR.USDL.ZS","Composición monetaria de la deuda PGP, dólares estadounidenses (%)","El porcentaje de deuda externa a largo plazo pública y con garantía pública contraída en dólares estadounidenses para países de ingreso bajo y mediano.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.DFR.DPPG.CD","Condonación o reducción de deuda (US$ a precios actuales)","La condonación o reducción de la deuda muestra la variación en el saldo de deuda debido a condonación o reducción de deuda. Se obtiene restando la deuda condonada y la reducción del saldo de deuda de la recompra de deuda. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.DIS.BLAT.CD","PGP, bilateral (DES, US$ a precios actuales)","La deuda bilateral incluye préstamos de Gobiernos y sus organismos (incluidos los bancos centrales), préstamos de órganos autónomos y préstamos directos de organismos oficiales de crédito para la exportación. Los desembolsos son los giros correspondientes a los compromisos de un préstamo que realiza el prestatario durante el año especificado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.DIS.BLTC.CD","PGP, bilateral en condiciones concesionarias (DES, US$ a precios actuales)","La deuda bilateral incluye préstamos de Gobiernos y sus organismos (incluidos los bancos centrales), préstamos de órganos autónomos y préstamos directos de organismos oficiales de crédito para la exportación. La deuda en condiciones concesionarias se define como préstamos con un elemento de donación original del 25% o más. El elemento de donación de un préstamo es el equivalente de donación expresado como porcentaje del monto comprometido. Se utiliza para medir el costo total del endeudamiento. El equivalente de donación de un préstamo es su valor (actualizado) de compromiso menos el valor actualizado descontado de su servicio de la deuda contractual; por lo general, los pagos futuros del servicio de la deuda se descuentan al 10%. Los desembolsos son los giros correspondientes a los compromisos de un préstamo que realiza el prestatario durante el año especificado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.DIS.DIMF.CD","Compras del FMI (DES, US$ a precios actuales)","Las compras del FMI son los giros totales de la Cuenta de Recursos Generales del FMI durante el año especificado, excluidos los giros del tramo de reserva. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"DT.DIS.DLTF.CD","Desembolsos de la deuda externa, a largo plazo + FMI (DES, US$ a precios actuales)","Los desembolsos son los giros correspondientes a los compromisos de un préstamo que realiza el prestatario durante el año especificado. Este elemento incluye los desembolsos de la deuda a largo plazo y las compras del FMI. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Las compras del FMI son los giros totales de la Cuenta de Recursos Generales del FMI durante el año especificado, excluidos los giros del tramo de reserva. Para mantener la capacidad de comparación entre los datos y las operaciones con el FMI y los datos sobre la deuda a largo plazo, el uso del crédito del FMI pendiente de pago al final del año (saldo) se convierte a dólares estadounidenses al tipo de cambio en DEG vigente en ese momento. Las compras se convierten utilizando el tipo de cambio promedio de DEG del año en que ocurrieron las operaciones. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
